title;_year_data;year;rated;released;runtime;genres;director;writer;actors;plot;languages;country;Oscar nominations;Oscars;nominations;wins;poster;ratings/0/Source;ratings_Value;ratings/1/Source;ratings/1/Value;ratings/2/Source;ratings/2/Value;metascore;rating;votes;imdbid;type;dvd;boxoffice;production;website;response;name;series;imdburl;totalseasons;start_year;opts/apiKey;opts/timeout
Birdy;1984;1984;R;1984-12-20T23:00:00.000Z;120 min;Drama;Alan Parker;William Wharton (based on the novel by), Sandy Kroopf (screenplay), Jack Behr (screenplay);Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron;"Philly boys Al and Birdy became friends in high school despite the extreme difference in their personalities, Al being the popular and athletic extrovert, Birdy the antisocial ""weird"" introvert. Al gave Birdy his nickname because of his fascination - obsession really - with birds, especially with flight. Al and Birdy have just completed their service of duty in the Vietnam War and have returned to the States. Al sustained some serious physical injuries, which required major reconstructive surgery to his face. Birdy, however, returned from Vietnam seemingly emotionally scarred. He was missing in action for one month. He has not spoken since he was found. Despite his own medical issues, Al travels to the institution where Birdy is being kept to see if he can assist in getting Birdy out of his near comatose state. Having always had issues with authority, Al is less than forthright with the doctors about Birdy's mental state prior to the war. As Al tries whatever he can to help Birdy using tools from their shared history prior to the war, he deals with his own post-war mental state.";English;USA;0;0;1;3;https://m.media-amazon.com/images/M/MV5BZTJkZmVkNjUtODUyZi00NjZhLTk0NmUtNGJhMjRlYWQxMTlmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;Internet Movie Database;7.3/10;Rotten Tomatoes;85%;;;N/A;7.3;19,159;tt0086969;movie;15/feb/00;N/A;Sony Pictures Home Entertainment;N/A;True;Birdy;false;https://www.imdb.com/title/tt0086969;;;;
Bringing Out the Dead;1999;1999;R;1999-10-21T22:00:00.000Z;121 min;Drama;Martin Scorsese;Joe Connelly (novel), Paul Schrader (screenplay);Nicolas Cage, Patricia Arquette, John Goodman, Ving Rhames;"An Easter story. Frank is a Manhattan medic, working graveyard in a two-man ambulance team. He's burned out, exhausted, seeing ghosts, especially a young woman he failed to save six months' before, and no longer able to save people: he brings in the dead. We follow him for three nights, each with a different partner: Larry, who thinks about dinner, Marcus, who looks to Jesus, and Tom, who wallops people when work is slow. Frank befriends the daughter of a heart victim he brings in; she's Mary, an ex-junkie, angry at her father but now hoping he'll live. Frank tries to get fired, tries to quit, and keeps coming back, to work and to Mary, in need of his own rebirth.";English;USA;0;0;4;2;https://m.media-amazon.com/images/M/MV5BMDMyMjEyYzEtODVlZC00OWY0LTkxZjItNjJmOWRjNzQxMGNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;6.8/10;Rotten Tomatoes;71%;Metacritic;70/100;70;6.8;57,796;tt0163988;movie;09 May 2000;N/A;Paramount Pictures;http://www.bringingoutthedead.com;True;Bringing Out the Dead;false;https://www.imdb.com/title/tt0163988;;;;
Captain Corelli's Mandolin;2001;2001;R;2001-08-16T22:00:00.000Z;131 min;Drama;John Madden;Shawn Slovo (screenplay), Louis de Bernières (novel);Penélope Cruz, John Hurt, Christian Bale, Irene Papas;In 1941, Italy allies with Germany and ruthlessly conquers the much weaker country of Greece. On a remote Greek island, an Italian artillery garrison is established to maintain order. One Italian officer, Captain Corelli, adopts an attitude of mutual co-existence with the Greeks and engages in such activities as music festivals and courting the daughter of a local doctor. In 1943, however, after Italy surrenders to the Allies and changes sides in the war, Captain Corelli must defend the Greek island against a German invasion.;English, Greek, German, Italian;UK;0;0;5;2;https://m.media-amazon.com/images/M/MV5BMjEwMzE5ODcyMF5BMl5BanBnXkFtZTcwODQ1NjEyMQ@@._V1_SX300.jpg;Internet Movie Database;5.9/10;Rotten Tomatoes;28%;Metacritic;36/100;36;5.9;30,643;tt0238112;movie;5/feb/02;$25,261,240;Universal Pictures;http://www.captain-corellis-mandolin.com;True;Captain Corelli's Mandolin;false;https://www.imdb.com/title/tt0238112;;;;
Cell 211;2009;2009;N/A;2009-11-05T23:00:00.000Z;113 min;Action;Daniel Monzón;Jorge Guerricaechevarría (adaptation), Daniel Monzón (adaptation), Francisco Pérez Gandul (novel);Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón;"Juan Oliver wants to make a good impression at his new job as a prison officer and reports to work a day early, leaving his pregnant wife, Elena, at home. His destiny is forever changed by this fateful decision, as during his tour of the prison, an accident occurs that knocks him unconscious. He is rushed to the empty but visibly haunted walls of cell 211. As this diversion unfolds, inmates of the high security cell block strategically break free and hijack the penitentiary. Aware of the violence that is to come, the prison officers flee, leaving Juan stranded and unconscious in the heart of the riot. When Juan awakens, he immediately takes stock of the situation; in order to survive, he must pretend to be a prisoner. Juan develops a dialogue with the violent leader of the riot, Badass, and the two begin a partnership, Badass fully believing that Juan is a new inmate. Negotiations go smoothly until the rioters take three ETA (the militant Basque separatist organization) prisoners hostage. When this hits the news, it triggers a stream of prison riots throughout the country as well as demonstrations in the Basque Country. Juan quickly realizes that he is on his own as the situation becomes more politicized and the government gets involved, afraid of potential ramifications in the Basque community. As the drama heightens, unexpected shifts in character both within and without the prison occur.";Spanish, Basque, English;Spain;0;0;23;42;https://m.media-amazon.com/images/M/MV5BMjI2ODE4ODAtMDA3MS00ODNkLTg4N2EtOGU0YjZmNGY4NjZlXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_SX300.jpg;Internet Movie Database;7.7/10;Rotten Tomatoes;97%;;;N/A;7.7;57,506;tt1242422;movie;29/aug/11;N/A;Paramount Pictures;N/A;True;Cell 211;false;https://www.imdb.com/title/tt1242422;;;;
City of Angels;1998;1998;PG-13;1998-04-09T22:00:00.000Z;114 min;Drama;Brad Silberling;"Wim Wenders (screenplay ""Der Himmel über Berlin""), Peter Handke (screenplay ""Der Himmel über Berlin""), Richard Reitinger (screenplay ""Der Himmel über Berlin""), Dana Stevens (screenplay)";Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz;Seth is an angel who accompanies the spirits of the recently dead to the ever after. Seth has never been human and so has has never experienced touch or taste. When in the hospital however he comes across Dr. Maggie Rice, a brilliant young heart surgeon who is devoted to her profession and her patients. Seth has the power to let himself be seen but Maggie finds him far too mysterious. Seth also meets a patient, Nathaniel Messinger, who has news for him - he too was once an angel like Seth but chose to fall to Earth and become human. Seth makes a decision on his future, which does not turn out as he had expected.;English;USA;1;0;12;10;https://m.media-amazon.com/images/M/MV5BZjk2OTEwNDEtNjVhYi00MzI3LWFhNzctZGUzOWMxMDMwZjJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;6.7/10;Metacritic;54/100;;;54;6.7;104,882;tt0120632;movie;19 Mar 2002;N/A;N/A;N/A;True;City of Angels;false;https://www.imdb.com/title/tt0120632;;;;
Con Air;1997;1997;R;1997-06-05T22:00:00.000Z;115 min;Action;Simon West;Scott Rosenberg;Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago;"Cameron Poe, a highly decorated United States Army Ranger, came home to Alabama to his wife, Tricia, only to run into a few drunken regulars where Tricia works. Cameron unknowingly kills one of the drunks and is sent to a federal penitentiary for involuntary manslaughter for seven years. Cameron becomes eligible for parole and can now go home to his wife and daughter. Unfortunately, Cameron has to share a prison airplane with some of the country's most dangerous criminals, who took control of the plane and are now planning to escape the country. Cameron has to find a way to stop them while playing along. Meanwhile, United States Marshal Vincent Larkin is trying to help Cameron get free and stop the criminals, including Cyrus ""The Virus"" Grissom.";English, Spanish;USA;2;0;9;7;https://m.media-amazon.com/images/M/MV5BMGZmNGIxMTYtMmVjMy00YzhkLWIyOTktNTExZGFiYjNiNzdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;6.8/10;Rotten Tomatoes;55%;Metacritic;52/100;52;6.8;250,527;tt0118880;movie;24 Mar 1998;N/A;Disney;N/A;True;Con Air;false;https://www.imdb.com/title/tt0118880;;;;
Deadfall;2012;2012;R;2012-11-08T23:00:00.000Z;95 min;Crime;Stefan Ruzowitzky;Zach Dean;Eric Bana, Olivia Wilde, Charlie Hunnam, Dennis Lafond;After a heist of a casino, the criminal Addison and his sister Liza are on the run to Canada with their driver/accomplice Theo. Out of the blue, Theo hits a deer and loses control of the car that leaves the road and overturns. Theo dies and Addison kills a patrolman that comes to help them. Then he splits the money with Liza and tells his sister to get a ride to the border while he will cross the woods. Addison leaves a trail of blood in his runaway. Meanwhile, the former boxer Jay, who was arrested for losing a fight, is released from prison on probation and calls his mother June Mills that lives in an isolated house with his estranged father Chet Mills that was the former Sheriff. June invites her son for the Thanksgiving dinner, but he goes first to the gym to collect money that his couch owes him. They quarrel and Jay hits him and believes that has killed him. He flees and while driving on the road, he sees Liza and gives a ride to her. Soon they fall in love with each other. Meanwhile Sheriff Marshall T. Becker is hunting Addison with his men but he does not allow that his daughter, Deputy Hanna to participate in the hunting party. The Thanksgiving will end with all the characters gathering at Chet and June's home.;English;France;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMTM3ODIwODYxOF5BMl5BanBnXkFtZTcwNTU5MjcxOA@@._V1_SX300.jpg;Internet Movie Database;6.3/10;Rotten Tomatoes;34%;Metacritic;52/100;52;6.3;35,887;tt1667310;movie;5/feb/13;$38,734;Magnolia Pictures;http://www.deadfallfilm.com;True;Deadfall;false;https://www.imdb.com/title/tt1667310;;;;
Dog Eat Dog;2016;2016;UNRATED;2016-11-10T23:00:00.000Z;93 min;Crime;Paul Schrader;Edward Bunker (based on the novel by), Matthew Wilder;Nicolas Cage, Willem Dafoe, Christopher Matthew Cook, Omar J. Dorsey;Carved from a lifetime of experience that runs the gamut from incarceration to liberation, Dog Eat Dog is the story of three men who are all out of prison and now have the task of adapting themselves to civilian life. The California three strikes law looms over them, but what the hell, they're going to do it, and they're going to do it their way. Troy, an aloof mastermind, seeks an uncomplicated, clean life but cannot get away from his hatred for the system. Diesel is on the mob's payroll and his interest in his suburban home and his nagging wife is waning. The loose cannon of the trio, Mad Dog, is possessed by true demons within, which lead him from one situation to the next. One more hit, one more jackpot, and they'll all be satisfied. Troy constructs the perfect crime and they pull it off, but in the aftermath, they keep finding the law surrounding them wherever they go.;English;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BMTc0ODExNjM4NV5BMl5BanBnXkFtZTgwNzY4ODYxMDI@._V1_SX300.jpg;Internet Movie Database;4.6/10;Rotten Tomatoes;50%;Metacritic;53/100;53;4.6;6,034;tt4054654;movie;27/dec/16;N/A;Ingenious Media;N/A;True;Dog Eat Dog;false;https://www.imdb.com/title/tt4054654;;;;
Drive Angry;2011;2011;R;2011-02-24T23:00:00.000Z;104 min;Action;Patrick Lussier;Todd Farmer, Patrick Lussier;Nicolas Cage, Amber Heard, William Fichtner, Billy Burke;John Milton is up against the clock: Jonah King, the leader of a Satanic cult, has murdered Milton's daughter and kidnapped her baby. In three days, King and his followers will sacrifice the child at midnight. Milton picks up the trail in Oklahoma as well as rescuing a waitress named Piper from her brutal, two-timing fiancé. There are odd things about Milton: his driver's license is out of date, he has a very strange gun, and he's being pursued by a man in a suit who carries FBI ID and calls himself the Accountant. Piper, who's lived a life on the sidelines, has to piece things together on the fly as they close in on King.;English;USA;0;0;6;1;https://m.media-amazon.com/images/M/MV5BMjIwNTM4Njg2NF5BMl5BanBnXkFtZTcwNDQwMTAwNA@@._V1_SX300.jpg;Internet Movie Database;5.4/10;Rotten Tomatoes;47%;Metacritic;44/100;44;5.4;88,588;tt1502404;movie;31 May 2011;$10,706,786;Summit Entertainment;http://www.driveangry3d.com/;True;Drive Angry;false;https://www.imdb.com/title/tt1502404;;;;
Dying of the Light;2014;2014;R;2014-12-04T23:00:00.000Z;94 min;Drama;Paul Schrader;Paul Schrader (screenplay);Nicolas Cage, Anton Yelchin, Alexander Karim, Irène Jacob;Veteran CIA agent Evan Lake has been ordered to retire. But when his protégé uncovers evidence that Lake's nemesis, the terrorist Banir, has resurfaced, Lake goes rogue, embarking on a perilous, intercontinental mission to eliminate his sworn enemy.;English, Romanian, Arabic;Bahamas;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMmZmZjZiZGUtNDcyMS00Y2FiLTk5MTMtZGVjOGVmZDkzZWNhXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg;Internet Movie Database;4.4/10;Rotten Tomatoes;9%;Metacritic;31/100;31;4.4;8,589;tt1274586;movie;17/feb/15;N/A;The Film Arcade;http://www.lionsgate.com/;True;Dying of the Light;false;https://www.imdb.com/title/tt1274586;;;;
Face/Off;1997;1997;R;1997-06-26T22:00:00.000Z;138 min;Action;John Woo;Mike Werb, Michael Colleary;John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola;Sean Archer, a very tough, rugged FBI Agent, is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy and a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal.;English, Latin;USA;1;0;21;11;https://m.media-amazon.com/images/M/MV5BYzFjNzIxMmEtMzY5NS00YTgzLTkwYWEtN2FjMmY0NmNkZWY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;Internet Movie Database;7.3/10;Rotten Tomatoes;92%;Metacritic;82/100;82;7.3;317,249;tt0119094;movie;06 Oct 1998;N/A;Paramount Pictures;N/A;True;Face/Off;false;https://www.imdb.com/title/tt0119094;;;;
Fast Times at Ridgemont High;1982;1982;R;1982-08-12T22:00:00.000Z;90 min;Comedy;Amy Heckerling;Cameron Crowe (screenplay), Cameron Crowe (book);Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus;Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. The center of the film is held by Jeff Spicoli, a perpetually stoned surfer dude who faces off with the resolute Mr. Hand, who is convinced that everyone is on dope.;English;USA;0;0;1;1;https://m.media-amazon.com/images/M/MV5BYzBlZjE1MDctYjZmZC00ZTJmLWFkOWEtYjdmZDZkODBkZmI2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg;Internet Movie Database;7.2/10;Rotten Tomatoes;78%;Metacritic;67/100;67;7.2;82,456;tt0083929;movie;2/nov/04;N/A;Universal Pictures;N/A;True;Fast Times at Ridgemont High;false;https://www.imdb.com/title/tt0083929;;;;
Fire Birds;1990;1990;PG-13;1990-05-24T22:00:00.000Z;85 min;Action;David Green;Step Tyner (story), John K. Swensson (story), Dale Dye (story), Nick Thiel (screenplay), Paul F. Edwards (screenplay);Nicolas Cage, Tommy Lee Jones, Sean Young, Bryan Kestner;The U.S. Government is willing to help any country that requires help in ridding themselves of drugs with support from the Army. Unfortunately, the drug cartels have countered that offer by hiring one of the best air-combat mercenaries and have armed him with a Scorpion attack helicopter. The army decides to send in its best people from its Apache Air Combat school. But first they have to be taught how to fly air-to-air combat missions;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMDFlOTI3YjEtOTZjNS00ZDc0LTgyZmMtM2QzMzU1ZDcyMTU2XkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg;Internet Movie Database;4.7/10;Rotten Tomatoes;10%;;;N/A;4.7;5,336;tt0099575;movie;3/feb/04;N/A;Touchstone Pictures;N/A;True;Fire Birds;false;https://www.imdb.com/title/tt0099575;;;;
G-Force;2009;2009;PG;2009-07-23T22:00:00.000Z;88 min;Animation;Hoyt Yeatman;Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Hoyt Yeatman (story), David P.I. James (story);Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner;The story is about a team of trained secret agent flies and a mole that takes on a mission for the US government. A specially trained squad of not guinea pigs is dispatched to stop a diabolical billionaire, who plans to taking over the world with household appliances.;English;USA;0;0;1;1;https://m.media-amazon.com/images/M/MV5BMTM4NTY3MzY2MV5BMl5BanBnXkFtZTcwMDQ1NTM2Mg@@._V1_SX300.jpg;Internet Movie Database;5.1/10;Rotten Tomatoes;22%;Metacritic;41/100;41;5.1;37,79;tt0436339;movie;15/dec/09;$119,420,252;Walt Disney Pictures;http://disney.go.com/disneypictures/gforce/;True;G-Force;false;https://www.imdb.com/title/tt0436339;;;;
